Feature,Importance,Std,Importance_Normalized
phi_Ia,0.009671848013816946,0.006517430833890567,0.1879194630872482
Ib,0.009153713298791052,0.004163029634954745,0.17785234899328872
Ic,0.00846286701208984,0.004119813624136996,0.1644295302013424
phi_Vc,0.008117443868739227,0.006646591158857984,0.1577181208053691
phi_Va,0.006390328151986199,0.006084253870054767,0.1241610738255033
phi_Vb,0.0062176165803109,0.005076662679343382,0.1208053691275168
phi_Ib,0.0034542314335060573,0.004087101749982478,0.0671140939597316
Va,0.0,0.0,0.0
Vc,0.0,0.0,0.0
Vb,0.0,0.0,0.0
Ia,0.0,0.0,0.0
phi_Ic,0.0,0.0,0.0
