mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_activation;param_alpha;param_hidden_layer_sizes;param_max_iter;params;mean_test_score;std_test_score;rank_test_score
22,36607370376587;0,07565599751586376;0,10281023979187012;0,0021672948221686987;relu;0.0001;(64, 32);500;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 500};1,0;0,0;1
80,98514223098755;2,3060554759668173;0,5113314151763916;0,003064228303950368;tanh;0.001;(168, 64);1000;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (168, 64), 'max_iter': 1000};1,0;0,0;1
81,2960560798645;2,2524462240155483;0,5143479347229004;0,0010206344171040534;tanh;0.001;(168, 64);500;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (168, 64), 'max_iter': 500};1,0;0,0;1
30,176881313323975;0,1726885379401821;0,19478611946105956;0,0015220155788841642;tanh;0.001;(64, 32);1000;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 1000};1,0;0,0;1
30,12562985420227;0,08825179452321284;0,19471049308776855;0,0016170582672109036;tanh;0.001;(64, 32);500;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 500};1,0;0,0;1
37,98462753295898;0,2263159156231308;0,22499351501464843;0,0010653941413479573;tanh;0.0001;(64, 32, 16);1000;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 1000};1,0;0,0;1
38,40050597190857;0,22398613815641485;0,2259608745574951;0,0007963245442976849;tanh;0.0001;(64, 32, 16);500;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 500};1,0;0,0;1
81,02387051582336;2,154971088087785;0,5122552871704101;0,0037861184285829827;tanh;0.0001;(168, 64);1000;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (168, 64), 'max_iter': 1000};1,0;0,0;1
81,44612317085266;2,294763908810829;0,5161659240722656;0,0030923721292000954;tanh;0.0001;(168, 64);500;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (168, 64), 'max_iter': 500};1,0;0,0;1
30,241652250289917;0,1577600303205872;0,19514803886413573;0,001401062859049607;tanh;0.0001;(64, 32);1000;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 1000};1,0;0,0;1
30,213482236862184;0,192131245995004;0,1950601100921631;0,0008565694734872469;tanh;0.0001;(64, 32);500;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 500};1,0;0,0;1
23,487652921676634;0,11893059479304297;0,11103134155273438;0,0003496390831048043;relu;0.001;(64, 32, 16);1000;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 1000};1,0;0,0;1
23,588196420669554;0,06541649208820614;0,11110048294067383;0,000464349729236936;relu;0.001;(64, 32, 16);500;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 500};1,0;0,0;1
64,43075079917908;1,5443822390196513;0,2999290466308594;0,0035443550243996003;relu;0.001;(168, 64);1000;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (168, 64), 'max_iter': 1000};1,0;0,0;1
64,59694299697875;1,9511049451317382;0,2998199462890625;0,003581989519240853;relu;0.001;(168, 64);500;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (168, 64), 'max_iter': 500};1,0;0,0;1
22,380922555923462;0,08144199768082165;0,09743819236755372;0,0011565776107815128;relu;0.001;(64, 32);1000;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 1000};1,0;0,0;1
22,369269323349;0,13823117279947178;0,09718585014343262;0,001205702815078488;relu;0.001;(64, 32);500;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 500};1,0;0,0;1
23,63819890022278;0,14542057659416982;0,11133718490600586;0,00034607630761338166;relu;0.0001;(64, 32, 16);1000;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 1000};1,0;0,0;1
23,791802644729614;0,19351520727444288;0,11117186546325683;0,0006682737545070173;relu;0.0001;(64, 32, 16);500;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 500};1,0;0,0;1
64,47010383605956;1,6680704700551163;0,30272278785705564;0,0037635913121957898;relu;0.0001;(168, 64);1000;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (168, 64), 'max_iter': 1000};1,0;0,0;1
64,6354444026947;1,7236152984292026;0,3054220676422119;0,002609348765922123;relu;0.0001;(168, 64);500;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (168, 64), 'max_iter': 500};1,0;0,0;1
22,359855031967165;0,06352918036828718;0,10024123191833496;0,0022659308701652205;relu;0.0001;(64, 32);1000;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 1000};1,0;0,0;1
38,40393328666687;0,19790096489532535;0,2253648281097412;0,0019905148417346786;tanh;0.001;(64, 32, 16);500;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 500};1,0;0,0;1
37,55245804786682;0,6510987621537834;0,22241997718811035;0,0024121441356293773;tanh;0.001;(64, 32, 16);1000;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 1000};1,0;0,0;1
